sim/none/none                                      Do nothing at all!
sim/fuel/fuel_pump_8_on                            Fuel pump for engine #8 on.
sim/fuel/fuel_pump_1_off                           Fuel pump for engine #1 off.
sim/fuel/fuel_pump_2_off                           Fuel pump for engine #2 off.
sim/fuel/fuel_pump_3_off                           Fuel pump for engine #3 off.
sim/fuel/fuel_pump_4_off                           Fuel pump for engine #4 off.
sim/fuel/fuel_pump_5_off                           Fuel pump for engine #5 off.
sim/fuel/fuel_pump_6_off                           Fuel pump for engine #6 off.
sim/fuel/fuel_pump_7_off                           Fuel pump for engine #7 off.
sim/fuel/fuel_pump_8_off                           Fuel pump for engine #8 off.
sim/fuel/fuel_pump_1_prime                         Fuel pump PRIME for engine #1 on.
sim/fuel/fuel_pump_2_prime                         Fuel pump PRIME for engine #2 on.
sim/fuel/fuel_pump_3_prime                         Fuel pump PRIME for engine #3 on.
sim/fuel/fuel_pump_4_prime                         Fuel pump PRIME for engine #4 on.
sim/fuel/fuel_pump_5_prime                         Fuel pump PRIME for engine #5 on.
sim/fuel/fuel_pump_6_prime                         Fuel pump PRIME for engine #6 on.
sim/fuel/fuel_pump_7_prime                         Fuel pump PRIME for engine #7 on.
sim/fuel/fuel_pump_8_prime                         Fuel pump PRIME for engine #8 on.
sim/engines/rockets_up                             Orbital man. rockets up.
sim/engines/rockets_down                           Orbital man. rockets down.
sim/engines/rockets_left                           Orbital man. rockets left.
sim/engines/rockets_right                          Orbital man. rockets right.
sim/engines/rockets_forward                        Orbital man. rockets fore.
sim/engines/rockets_aft                            Orbital man. rockets aft.
sim/lights/landing_lights_on                       Landing lights on.
sim/lights/landing_lights_off                      Landing lights off.
sim/lights/landing_lights_toggle                   Landing lights toggle.
sim/lights/taxi_lights_on                          Taxi lights on.
sim/lights/taxi_lights_off                         Taxi lights off.
sim/lights/taxi_lights_toggle                      Taxi lights toggle.
sim/lights/strobe_lights_on                        Strobe lights on.
sim/lights/strobe_lights_off                       Strobe lights off.
sim/lights/strobe_lights_toggle                    Strobe lights toggle.
sim/lights/nav_lights_on                           Nav lights on.
sim/lights/nav_lights_off                          Nav lights off.
sim/lights/nav_lights_toggle                       Nav lights toggle.
sim/lights/beacon_lights_on                        Beacon lights on.
sim/lights/beacon_lights_off                       Beacon lights off.
sim/lights/beacon_lights_toggle                    Beacon lights toggle.
sim/lights/landing_light_left                      Aim landing light left.
sim/lights/landing_light_right                     Aim landing light right.
sim/lights/landing_light_up                        Aim landing light up.
sim/lights/landing_light_down                      Aim landing light down.
sim/lights/landing_light_center                    Aim landing light to center.
sim/annunciator/test_all_annunciators              Test all annunciators.
sim/annunciator/test_stall                         Test stall warn.
sim/annunciator/test_fire_L_annun                  Test fire L annunciator.
sim/annunciator/test_fire_R_annun                  Test fire R annunciator.
sim/annunciator/clear_master_caution               Clear master caution.
sim/annunciator/clear_master_warning               Clear master warning.
sim/annunciator/clear_master_accept                Clear master accept.
sim/annunciator/gear_warning_mute                  Mute gear warning horn.
sim/electrical/dc_volt_ext                         DC Voltmeter external power.
sim/electrical/dc_volt_ctr                         DC Voltmeter center.
sim/electrical/dc_volt_lft                         DC Voltmeter left.
sim/electrical/dc_volt_rgt                         DC Voltmeter right.
sim/electrical/dc_volt_tpl                         DC Voltmeter TPL-fed.
sim/electrical/dc_volt_bat                         DC Voltmeter battery.
sim/electrical/inverters_on                        Inverters on.
sim/electrical/inverters_off                       Inverters off.
sim/electrical/inverters_toggle                    Inverters toggle.
sim/electrical/inverter_1_on                       Inverter_1 on.
sim/electrical/inverter_1_off                      Inverter_1 off.
sim/electrical/inverter_1_toggle                   Inverter_1 toggle.
sim/electrical/inverter_2_on                       Inverter_2 on.
sim/electrical/inverter_2_off                      Inverter_2 off.
